module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
Core,_meta,,,,,,,,,false,https://docs.bmad-method.org/llms.txt,
Core,bmad-brainstorming,Brainstorming,BSP,Use early in ideation or when stuck generating ideas.,,anytime,,,false,{output_folder}/brainstorming,brainstorming session
Core,bmad-party-mode,Party Mode,PM,"Orchestrate multi-agent discussions when you need multiple perspectives or want agents to collaborate. Can use shared BMAD planning capability rounds: capability:zoom-out, capability:tdd, capability:ubiquitous-language, and capability:grill-me.",,anytime,,,false,,
Core,bmad-loop,BMAD Loop,BL,"Run a generic local Codex/BMAD loop with explicit goal input, capability:zoom-out, capability:tdd, capability:ubiquitous-language, capability:grill-me, fresh non-main branch safety, quality gates, install/refresh evidence, and checkpointed continuation.",,anytime,,,false,{output_folder}/loops,loop checkpoint
Core,bmad-self-improve,Self Improve,SI,"Run BMAD repository improvement as a predefined bmad-loop instance. Requires explicit operator goal, goal_ref, or scope; consumes capability:zoom-out, capability:tdd, capability:ubiquitous-language, and capability:grill-me; preserves SI-AUTO aliases and checkpointed continuation.",,anytime,,,false,{output_folder}/self-improvement,self-improvement checkpoint
Core,bmad-help,BMad Help,BH,"Orient users and recommend next BMAD steps, including shared BMAD planning capabilities when intent fits: capability:zoom-out, capability:tdd, capability:ubiquitous-language, and capability:grill-me.",,anytime,,,false,,
Core,bmad-workspace,BMAD Workspace,WS,"Operate BMAD Workspace Sessions from Codex, including Repo Intake, BMAD Work Packets, Review Manifest, Evidence Index, archive diff, manual results, Manual Closeout, Worktree Review, archives, destroy, grant-governed base improvement, and shared planning setup refs for capability:zoom-out, capability:tdd, capability:ubiquitous-language, and capability:grill-me.",,anytime,,,false,{project-root}/docs/workspace,workspace session artifacts
Core,bmad-index-docs,Index Docs,ID,Use when LLM needs to understand available docs without loading everything.,,anytime,,,false,,
Core,bmad-shard-doc,Shard Document,SD,Use when doc becomes too large (>500 lines) to manage effectively.,[path],anytime,,,false,,
Core,bmad-editorial-review-prose,Editorial Review - Prose,EP,Use after drafting to polish written content.,[path],anytime,,,false,report located with target document,three-column markdown table with suggested fixes
Core,bmad-editorial-review-structure,Editorial Review - Structure,ES,Use when doc produced from multiple subprocesses or needs structural improvement.,[path],anytime,,,false,report located with target document,
Core,bmad-review-adversarial-general,Adversarial Review,AR,"Use for quality assurance or before finalizing deliverables. Code Review in other modules runs this automatically, but also useful for document reviews.",[path],anytime,,,false,,
Core,bmad-review-edge-case-hunter,Edge Case Hunter Review,ECH,Use alongside adversarial review for orthogonal coverage — method-driven not attitude-driven.,[path],anytime,,,false,,
Core,bmad-distillator,Distillator,DG,Use when you need token-efficient distillates that preserve all information for downstream LLM consumption.,[path],anytime,,,false,adjacent to source document or specified output_path,distillate markdown file(s)
Core,bmad-customize,BMad Customize,BC,"Use when you want to change how an agent or workflow behaves — add persistent facts, swap templates, insert activation hooks, or customize menus. Scans what's customizable, picks the right scope (agent vs workflow), writes the override to _bmad/custom/, and verifies the merge. No TOML hand-authoring required.",,anytime,,,false,{project-root}/_bmad/custom,TOML override files
